Fire_Mod,Kingdom,Phylum,Class,Order,Family,Genus,Mean_Relative_Abundance,Standard_Deviation,Standard_Error,Sample_Size,Prevalence_Percent
SOD-UT,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Saccharomycetales_gen_Incertae_sedis,0.026654915831246094,0.025593949841006224,0.003815320777147323,45,100
SOD-UT,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,0.022835638278336078,0.04435389257790848,0.0066118879247284495,45,80
SOD-UT,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Hygrophoraceae,Hygrophorus,0.01731810842332819,0.11600821867256401,0.01729348419336757,45,8.88888888888889
SOD-UT,Fungi,Basidiomycota,Agaricomycetes,Atheliales,Byssocorticiaceae,Byssocorticium,0.014759696669991372,0.035935728501034,0.005356982116619243,45,48.888888888888886
SOD-UT,Fungi,Basidiomycota,Agaricomycetes,Boletales,Melanogastraceae,Melanogaster,0.014586842995390384,0.02659421622186714,0.003964431685361504,45,100
SOD-UT,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,0.014448854580611238,0.013929001439162748,0.00207641293844402,45,100
SOD-UT,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,0.013374653670984527,0.02401956221043716,0.0035806249261548396,45,97.77777777777777
SOD-UT,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius,0.012694139967138458,0.026811680670975557,0.003996849371421234,45,80
SOD-UT,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,0.012073963126047695,0.012561726718149669,0.0018725916571038666,45,97.77777777777777
SOD-UT,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,0.010211520530128925,0.019680691735028892,0.002933824304249525,45,62.22222222222222
SOD-UT,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Clavulina,0.010154978493135259,0.03619896720583822,0.005396223425835992,45,42.22222222222222
SOD-T,Other,Other,Other,Other,Other,Other,0.31839413901704666,NA,NA,NA,NA
SOD-T,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,0.09603686548869772,0.1779545040844178,0.02849552620033766,39,92.3076923076923
SOD-T,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,0.07736888074415504,0.08939279767789071,0.01431430365563232,39,100
SOD-T,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,0.060464538565688446,0.12430922767055441,0.01990540712782213,39,92.3076923076923
SOD-T,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,0.058722670731801097,0.05857256579140803,0.00937911682380517,39,100
SOD-T,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Podila,0.04834003202561693,0.049453949852335255,0.007918969688223806,39,97.43589743589743
SOD-T,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,0.04179938258920639,0.04305960726148185,0.006895055414353212,39,97.43589743589743
SOD-T,Fungi,Basidiomycota,Geminibasidiomycetes,Geminibasidiales,Geminibasidiaceae,Geminibasidium,0.03915728311119058,0.05040003084954279,0.008070463891656724,39,100
SOD-T,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Saccharomycetales_gen_Incertae_sedis,0.02320096089237591,0.02231851830584511,0.0035738231319800183,39,100
SOD-T,Fungi,Ascomycota,Pezizomycetes,Pezizales,Tuberaceae,Tuber,0.022744174069369474,0.05914231542644338,0.009470349780994503,39,48.717948717948715
SOD-T,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,0.01964934605166624,0.023511883971000395,0.0037649145727557142,39,100
SOD-T,Fungi,Basidiomycota,Agaricomycetes,Boletales,Melanogastraceae,Melanogaster,0.019572626246443965,0.06508457339265969,0.010421872578558292,39,74.35897435897436
SOD-T,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,0.01888968150087209,0.022931306277703005,0.003671947738587587,39,100
SOD-T,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,0.01803254112838619,0.02802397938086097,0.0044874280805290954,39,92.3076923076923
SOD-T,Fungi,Basidiomycota,Agaricomycetes,Sebacinales,Sebacinaceae,Sebacina,0.01734967309261074,0.052046075395330904,0.008334041965854707,39,64.1025641025641
SOD-T,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Amanitaceae,Amanita,0.016706716329794504,0.05524565366874695,0.008846384527731689,39,48.717948717948715
SOD-T,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Hydnaceae,Clavulina,0.016159293693573468,0.07280475352939733,0.011658090770896795,39,23.076923076923077
SOD-T,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Cladophialophora,0.014984463803994583,0.02148457843619837,0.003440285880269031,39,100
SOD-T,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,0.012760248697982814,0.012462310466169866,0.0019955667670935955,39,97.43589743589743
SOD-T,Fungi,Basidiomycota,Agaricomycetes,Boletales,Melanogastraceae,Alpova,0.012572857093305715,0.01941854143289718,0.0031094551892374167,39,76.92307692307693
SOD-T,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Wilcoxina,0.012132460450806213,0.043433811414827654,0.006954976034574672,39,28.205128205128204
SOD-T,Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella,0.012096127361627422,0.020468152947784684,0.0032775275433289132,39,74.35897435897436
SOD-T,Fungi,Basidiomycota,GS25,GS25_ord_Incertae_sedis,GS25_ord_Incertae_sedis_fam_Incertae_sedis,GS25_ord_Incertae_sedis_gen_Incertae_sedis,0.011957254879901964,0.0228591646489471,0.0036603958327624114,39,82.05128205128204
SOD-T,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Herpotrichiellaceae,Exophiala,0.010907782433885538,0.020565078764180122,0.003293048095364366,39,89.74358974358975
Wildfire,Other,Other,Other,Other,Other,Other,0.24979986969471674,NA,NA,NA,NA
Wildfire,Fungi,Mucoromycota,Umbelopsidomycetes,Umbelopsidales,Umbelopsidaceae,Umbelopsis,0.10855436370421426,0.11232064710295529,0.030018955637142984,14,100
Wildfire,Fungi,Basidiomycota,Geminibasidiomycetes,Geminibasidiales,Geminibasidiaceae,Geminibasidium,0.0958138726320862,0.07726154342901528,0.020649016048909338,14,92.85714285714286
Wildfire,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Lyophyllaceae,Lyophyllum,0.08342187811637092,0.20048169367845936,0.05358098643321129,14,71.42857142857143
Wildfire,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Mortierella,0.048578206075136576,0.08181363324144428,0.021865613225476005,14,92.85714285714286
Wildfire,Fungi,Ascomycota,Leotiomycetes,Helotiales,Myxotrichaceae,Oidiodendron,0.045928637847546284,0.08457786959353503,0.02260438646587525,14,85.71428571428571
Wildfire,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Cladosporiaceae,Cladosporium,0.04294763708699638,0.0736086821021147,0.01967274779414802,14,100
Wildfire,Fungi,Basidiomycota,GS25,GS25_ord_Incertae_sedis,GS25_ord_Incertae_sedis_fam_Incertae_sedis,GS25_ord_Incertae_sedis_gen_Incertae_sedis,0.04040266004002568,0.039022307740479704,0.010429150429009416,14,100
Wildfire,Fungi,Mortierellomycota,Mortierellomycetes,Mortierellales,Mortierellaceae,Podila,0.03346049863891149,0.054067503783298575,0.014450148208229081,14,85.71428571428571
Wildfire,Fungi,Ascomycota,Saccharomycetes,Saccharomycetales,Saccharomycetales_fam_Incertae_sedis,Saccharomycetales_gen_Incertae_sedis,0.032301620428929756,0.04029966696276821,0.010770539041126532,14,78.57142857142857
Wildfire,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Trimorphomycetaceae,Saitozyma,0.03207989472693355,0.039815170620744474,0.010641051947055242,14,100
Wildfire,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Sagenomella,0.03135642508049552,0.02873881878221104,0.00768077239882983,14,85.71428571428571
Wildfire,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporales_fam_Incertae_sedis,Ochrocladosporium,0.024782361435740734,0.07456372039497174,0.019927992514370912,14,71.42857142857143
Wildfire,Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Plicaria,0.024350100346422123,0.05137539338361657,0.013730651439444715,14,100
Wildfire,Fungi,Monoblepharomycota,Monoblepharomycota_cls_Incertae_sedis,Monoblepharomycota_ord_Incertae_sedis,Monoblepharomycota_fam_Incertae_sedis,Monoblepharomycota_gen_Incertae_sedis,0.023830038145431207,0.06835713770770105,0.018269213517338796,14,71.42857142857143
Wildfire,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,0.01774031259765892,0.037077427209809756,0.009909359243011272,14,42.857142857142854
Wildfire,Fungi,Ascomycota,Dothideomycetes,Dothideales,Saccotheciaceae,Aureobasidium,0.016014857110205477,0.03272556619811604,0.00874627546439575,14,78.57142857142857
Wildfire,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Piskurozymaceae,Solicoccozyma,0.015316255687948276,0.025729297808927465,0.0068764440859485736,14,85.71428571428571
Wildfire,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,0.011911651646951568,0.022812812067526233,0.006096980484681803,14,64.2857142857143
Wildfire,Fungi,Basidiomycota,Agaricomycetes,Boletales,Rhizopogonaceae,Rhizopogon,0.010890022716352385,0.016640616332279902,0.004447391787153299,14,78.57142857142857
Wildfire,Fungi,Basidiomycota,Agaricomycetes,Boletales,Melanogastraceae,Alpova,0.010518836240925929,0.03532618111767359,0.00944131903753268,14,35.714285714285715
